icao,datetime_utc,timestamp,msg,df,typecode,oe_flag,velocity,speed_heading,airborne_velocity,altitude_diff,nuc_v,nac_v,emergency_state,version,nac_p,nic_s,nic_a_c,selected_altitude,selected_heading,baro_pressure_setting,tcas_operational,altitude,nuc_p,nic_b,latitude,longitude,position_type,emergency_squawk,is_emergency,autopilot,vnav_mode,altitude_hold_mode,approach_mode,lnav_mode,callsign,category
4075C2,2025-06-14 00:53:27.909141064+00:00,1749862407.909141,8D4075C29909C51DC00C45896739,17,19,1,"(510, 62.33034673881055, 128, 'GS')","(510, 62.33034673881055)","(510, 62.33034673881055, 128, 'GS')",1700.0,"(1, 10, 15.2)","(1, 10, 15.2)",0.0,,,,,,,,,,,,38.31286414194915,-140.68202143130094,airborne,,,,,,,,,
4075C2,2025-06-14 00:53:28.774029016+00:00,1749862408.774029,8D4075C2EA48585C953F8C2B65A9,17,29,0,,,,,,,,,"(9, 30, 45)",,,"(36992, 'MCP/FCU')",52.03125,1012.8,True,,,,,,,,,True,True,False,False,True,,
4075C2,2025-06-14 00:53:28.892282963+00:00,1749862408.892283,8D4075C258BDF183D542F6B47815,17,11,0,,,,,,,5.0,,,,,,,,,36975.0,"(7, 185, 93, None)",0.0,38.272430419921875,-140.70038491107047,airborne,,,,,,,,,
4075C2,2025-06-14 00:53:32.110830069+00:00,1749862412.11083,8D4075C2F82100020049BC9CAAD5,17,31,0,,,,,,,1.0,2.0,"(9, 30, 45)",0.0,"(0, 0)",,,,,,,,,,,,,,,,,,,
4075C2,2025-06-14 00:53:33.747749805+00:00,1749862413.7477498,8D4075C2EA48585C953F8C2B65A9,17,29,0,,,,,,,,,"(9, 30, 45)",,,"(36992, 'MCP/FCU')",52.03125,1012.8,True,,,,,,,,,True,True,False,False,True,,
4075C2,2025-06-14 00:53:35.791074991+00:00,1749862415.791075,8D4075C258BF018519442B56E1A3,17,11,0,,,,,,,5.0,,,,,,,,,37000.0,"(7, 185, 93, None)",0.0,38.27984619140625,-140.6823275951629,airborne,,,,,,,,,
4075C2,2025-06-14 00:53:35.791088820+00:00,1749862415.7910888,8D4075C29909C51DC00C45896739,17,19,1,"(510, 62.33034673881055, 128, 'GS')","(510, 62.33034673881055)","(510, 62.33034673881055, 128, 'GS')",1700.0,"(1, 10, 15.2)","(1, 10, 15.2)",0.0,,,,,,,,,,,,38.31286414194915,-140.68202143130094,airborne,,,,,,,,,
A071C8,2025-06-14 00:53:22.388232946+00:00,1749862402.388233,8DA071C8F8210002004AB8D79ADE,17,31,0,,,,,,,1.0,2.0,"(10, 10, 15)",0.0,"(0, 0)",,,,,,,,,,,,,,,,,,,
A071C8,2025-06-14 00:53:22.768926859+00:00,1749862402.7689269,8DA071C89909BB03E004447C6B80,17,19,0,"(443, 86.11710143963631, 0, 'GS')","(443, 86.11710143963631)","(443, 86.11710143963631, 0, 'GS')",1675.0,"(1, 10, 15.2)","(1, 10, 15.2)",0.0,,,,,,,,,,,,,,,,,,,,,,,
A071C8,2025-06-14 00:53:22.938120842+00:00,1749862402.9381208,8DA071C823101332DB1E60DBB8A2,17,4,0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,DAL2619_,3.0
A071C8,2025-06-14 00:53:23.156655073+00:00,1749862403.156655,8DA071C858BF03C665AA54D379D8,17,11,0,,,,,,,5.0,,,,,,,,,37000.0,"(7, 185, 93, None)",0.0,,,,,,,,,,,,
A071C8,2025-06-14 00:53:23.156668901+00:00,1749862403.156669,8DA071C89909BB03E004447C6B80,17,19,0,"(443, 86.11710143963631, 0, 'GS')","(443, 86.11710143963631)","(443, 86.11710143963631, 0, 'GS')",1675.0,"(1, 10, 15.2)","(1, 10, 15.2)",0.0,,,,,,,,,,,,,,,,,,,,,,,
A071C8,2025-06-14 00:53:23.806607008+00:00,1749862403.806607,8DA071C89909BB03E004447C6B80,17,19,0,"(443, 86.11710143963631, 0, 'GS')","(443, 86.11710143963631)","(443, 86.11710143963631, 0, 'GS')",1675.0,"(1, 10, 15.2)","(1, 10, 15.2)",0.0,,,,,,,,,,,,,,,,,,,,,,,
A071C8,2025-06-14 00:53:24.425253153+00:00,1749862404.4252532,8DA071C858BF074FE843BBD44E42,17,11,1,,,,,,,5.0,,,,,,,,,37000.0,"(7, 185, 93, None)",0.0,-25.456067101430108,-46.64862290868217,airborne,,,,,,,,,
A071C8,2025-06-14 00:53:24.425268888+00:00,1749862404.425269,8DA071C89909BB03E004447C6B80,17,19,0,"(443, 86.11710143963631, 0, 'GS')","(443, 86.11710143963631)","(443, 86.11710143963631, 0, 'GS')",1675.0,"(1, 10, 15.2)","(1, 10, 15.2)",0.0,,,,,,,,,,,,-25.477294921875,-46.61112467447913,airborne,,,,,,,,,
A071C8,2025-06-14 00:53:24.425295830+00:00,1749862404.4252958,8DA071C8EA48585CD95C08F69427,17,29,0,,,,,,,,,"(10, 10, 15)",,,"(36992, 'MCP/FCU')",75.9375,1012.8,True,,,,,,,,,,,,,,,
A071C8,2025-06-14 00:53:24.741306782+00:00,1749862404.7413068,8DA071C8E1052600000000753308,17,28,1,,,,,,,0.0,,,,,,,,,,,,,,,0562,False,,,,,,,
A071C8,2025-06-14 00:53:25.038625956+00:00,1749862405.038626,8DA071C858BF074FEC43D5E109D7,17,11,1,,,,,,,5.0,,,,,,,,,37000.0,"(7, 185, 93, None)",0.0,-25.45597399695447,-46.64727552881777,airborne,,,,,,,,,
A071C8,2025-06-14 00:53:25.038722992+00:00,1749862405.038723,8DA071C89909BB03E004447C6B80,17,19,0,"(443, 86.11710143963631, 0, 'GS')","(443, 86.11710143963631)","(443, 86.11710143963631, 0, 'GS')",1675.0,"(1, 10, 15.2)","(1, 10, 15.2)",0.0,,,,,,,,,,,,-25.477294921875,-46.61112467447913,airborne,,,,,,,,,
A071C8,2025-06-14 00:53:25.038784981+00:00,1749862405.038785,8DA071C8F8210002004AB8D79ADE,17,31,0,,,,,,,1.0,2.0,"(10, 10, 15)",0.0,"(0, 0)",,,,,,,,,,,,,,,,,,,
A071C8,2025-06-14 00:53:25.392342091+00:00,1749862405.392342,8DA071C89909BB03E004447C6B80,17,19,0,"(443, 86.11710143963631, 0, 'GS')","(443, 86.11710143963631)","(443, 86.11710143963631, 0, 'GS')",1675.0,"(1, 10, 15.2)","(1, 10, 15.2)",0.0,,,,,,,,,,,,-25.477294921875,-46.61112467447913,airborne,,,,,,,,,
A071C8,2025-06-14 00:53:25.552683115+00:00,1749862405.552683,8DA071C8EA48585CD95C08F69427,17,29,0,,,,,,,,,"(10, 10, 15)",,,"(36992, 'MCP/FCU')",75.9375,1012.8,True,,,,,,,,,,,,,,,
A071C8,2025-06-14 00:53:25.858468056+00:00,1749862405.858468,8DA071C858BF074FF243FF7FBB8E,17,11,1,,,,,,,5.0,,,,,,,,,37000.0,"(7, 185, 93, None)",0.0,-25.455834340240983,-46.64509899211379,airborne,,,,,,,,,
